category,text,page,x,y,bounds
client_info,"Client Number// 366223 Valuation currency II USD Investment profile // Undefined Risk Profile // Medium-high -I dnHn• ±: :5:,* ±3: Ł I",0,-0.3074951171875,40.37249755859375,"[-0.3074951171875, 40.37249755859375, 781.4400024414062, 586.4400024414062]"
client_info,MESSOS ENTERPRISES LTD.,0,154.55999755859375,376.6510009765625,"[154.55999755859375, 376.6510009765625, 341.6559753417969, 386.51800537109375]"
client_info,MESSOS ENTERPRISES LTD. Valuation as of 30.05.2025 Client Number 366223,1,609.1199951171875,532.4579925537109,"[609.1199951171875, 532.4579925537109, 729.0890350341797, 555.760498046875]"
securities,Bonds 6,1,78.70950317382812,366.4931945800781,"[78.70950317382812, 366.4931945800781, 427.679443359375, 377.6907043457031]"
prices,"Client Number// 366223 Valuation currency II USD Investment profile // Undefined Risk Profile // Medium-high -I dnHn• ±: :5:,* ±3: Ł I",0,-0.3074951171875,40.37249755859375,"[-0.3074951171875, 40.37249755859375, 781.4400024414062, 586.4400024414062]"
valuations,"Client Number// 366223 Valuation currency II USD Investment profile // Undefined Risk Profile // Medium-high -I dnHn• ±: :5:,* ±3: Ł I",0,-0.3074951171875,40.37249755859375,"[-0.3074951171875, 40.37249755859375, 781.4400024414062, 586.4400024414062]"
valuations,Valuation as of 30.05.2025,0,154.31700134277344,408.6697998046875,"[154.31700134277344, 408.6697998046875, 350.3807678222656, 460.6087951660156]"
valuations,MESSOS ENTERPRISES LTD. Valuation as of 30.05.2025 Client Number 366223,1,609.1199951171875,532.4579925537109,"[609.1199951171875, 532.4579925537109, 729.0890350341797, 555.760498046875]"
dates,Valuation as of 30.05.2025,0,154.31700134277344,408.6697998046875,"[154.31700134277344, 408.6697998046875, 350.3807678222656, 460.6087951660156]"
dates,Print date 31.05.2025 // Page I,1,623.0399932861328,50.619293212890625,"[623.0399932861328, 50.619293212890625, 729.0192565917969, 57.84930419921875]"
dates,MESSOS ENTERPRISES LTD. Valuation as of 30.05.2025 Client Number 366223,1,609.1199951171875,532.4579925537109,"[609.1199951171875, 532.4579925537109, 729.0890350341797, 555.760498046875]"
currencies,"Client Number// 366223 Valuation currency II USD Investment profile // Undefined Risk Profile // Medium-high -I dnHn• ±: :5:,* ±3: Ł I",0,-0.3074951171875,40.37249755859375,"[-0.3074951171875, 40.37249755859375, 781.4400024414062, 586.4400024414062]"
