name,isin,quantity,market_value,price,performance,currency,maturity,valorn,confidence_score,source_page
"NATIXIS STRUC.NOTES 19-20.6.26 VRN ON 4,75%METLIFE",XS1700087403,100'000,21,91.0217,0.83%,USD,20.06.2026,39877135,1.0,13
NOVUS CAPITAL CREDIT LINKED NOTES 2023-27.09.2029,XS2594173093,200'000,99.0592,99.0592,-2.28%,USD,27.09.2029,125443809,1.0,13
NOVUS CAPITAL STRUCT.NOTE 2021-12.01.28 VRN ON NATWEST GROUP,XS2407295554,500'000,100.5243,100.5243,3.88%,USD,12.01.2028,114718568,1.0,13
NOVUS CAPITAL STRUCTURED NOTES 20-15.05.26 ON CS,XS2252299883,1'000'000,100.3664,100.3664,0.83%,USD,15.05.2026,58001077,1.0,13
EXIGENT ENHANCED INCOME FUND LTD SHS A SERIES 20,XD0466760473,204.071,1'008.3748,204.071,0.00%,USO,,46676047,1.0,14
